fails,folder,problem
2,V1/,Ericson2022figure2
1,V1/,Ericson2022figure3
1,V1/,Ericson2022figure4
1,V1/,Ericson2022figure8
5,V1/,Haynes_Magyar2022figure4
8,V1/,Karavirta2012Figure3
1,V1/,Weinmann2021figure1
4,V2/,Ericson2017figure1
5,V2/,Ericson2017figure4
3,V2/,Ericson2018figure5
8,V2/,Ericson2022figure2
7,V2/,Ericson2022figure3
10,V2/,Ericson2022figure4
1,V2/,Ericson2022figure8
10,V2/,Haynes_Magyar2022figure2
8,V2/,Haynes_Magyar2022figure4
4,V2/,Hou2022figure2
9,V2/,Karavirta2012Figure3
14,V2/,Weinmann2021figure1
5,V3/,Ericson2017figure1
1,V3/,Ericson2017figure4
6,V3/,Ericson2018figure5
3,V3/,Ericson2022figure2
6,V3/,Ericson2022figure3
6,V3/,Ericson2022figure4
8,V3/,Ericson2022figure8
1,V3/,Haynes_Magyar2022figure2
10,V3/,Haynes_Magyar2022figure4
4,V3/,Karavirta2012Figure3
13,V3/,Weinmann2021figure1